date,country,countryCode,province,city,confirmed,suspected,cured,dead
2019-12-01,中国,CN,,,1,0,0,0
2019-12-01,中国,CN,Hubei Province,,1,0,0,0
2019-12-01,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-02,中国,CN,,,1,0,0,0
2019-12-02,中国,CN,Hubei Province,,1,0,0,0
2019-12-02,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-03,中国,CN,,,1,0,0,0
2019-12-03,中国,CN,Hubei Province,,1,0,0,0
2019-12-03,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-04,中国,CN,,,1,0,0,0
2019-12-04,中国,CN,Hubei Province,,1,0,0,0
2019-12-04,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-05,中国,CN,,,1,0,0,0
2019-12-05,中国,CN,Hubei Province,,1,0,0,0
2019-12-05,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-06,中国,CN,,,1,0,0,0
2019-12-06,中国,CN,Hubei Province,,1,0,0,0
2019-12-06,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-07,中国,CN,,,1,0,0,0
2019-12-07,中国,CN,Hubei Province,,1,0,0,0
2019-12-07,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-08,中国,CN,,,1,0,0,0
2019-12-08,中国,CN,Hubei Province,,1,0,0,0
2019-12-08,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-09,中国,CN,,,1,0,0,0
2019-12-09,中国,CN,Hubei Province,,1,0,0,0
2019-12-09,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-10,中国,CN,,,1,0,0,0
2019-12-10,中国,CN,Hubei Province,,1,0,0,0
2019-12-10,中国,CN,Hubei Province,Wuhan,1,0,0,0
2019-12-11,中国,CN,,,4,0,0,0
2019-12-11,中国,CN,Hubei Province,,4,0,0,0
2019-12-11,中国,CN,Hubei Province,Wuhan,4,0,0,0
2019-12-12,中国,CN,,,4,0,0,0
2019-12-12,中国,CN,Hubei Province,,4,0,0,0
2019-12-12,中国,CN,Hubei Province,Wuhan,4,0,0,0
2019-12-13,中国,CN,,,4,0,0,0
2019-12-13,中国,CN,Hubei Province,,4,0,0,0
2019-12-13,中国,CN,Hubei Province,Wuhan,4,0,0,0
2019-12-14,中国,CN,,,4,0,0,0
2019-12-14,中国,CN,Hubei Province,,4,0,0,0
