date	days	hubei
1/21/2020	0	270
1/22/2020	1	444
1/23/2020	2	444
1/24/2020	3	549
1/24/2020	3	549
1/25/2020	4	729
1/25/2020	4	761
1/25/2020	4	1052
1/26/2020	5	1058
1/26/2020	5	1423
1/27/2020	6	1423
1/27/2020	6	1423
1/27/2020	6	2714
1/28/2020	7	2714
1/28/2020	7	3554
1/28/2020	7	3554
1/29/2020	8	3554
1/29/2020	8	3554
1/29/2020	8	4586
1/30/2020	9	4903
1/31/2020	10	5806
2/1/2020	11	7153
2/2/2020	12	11177
2/3/2020	13	13522
2/4/2020	14	13522
2/4/2020	14	16678
2/5/2020	15	16678
2/5/2020	15	19665
2/6/2020	16	19665
2/6/2020	16	19665
2/7/2020	17	22112
2/7/2020	17	24953
2/8/2020	18	24953
2/8/2020	18	27100
2/9/2020	19	27100
2/9/2020	19	29631
